,Model Name,R2_Score(Training),R2_Score_Testing,Depth,Iterations,Learning Rate
59,CatBoost Regressor Tuned,0.6678905268001578,0.8424762619404146,1.0,1250.0,0.07
60,CatBoost Regressor Tuned,0.6792871941899439,0.8327548115639396,1.0,1250.0,0.1
61,CatBoost Regressor Tuned,0.341780352531699,0.5533949557201706,1.0,1300.0,0.001
62,CatBoost Regressor Tuned,0.5667461106658228,0.8052486493748439,1.0,1300.0,0.005
63,CatBoost Regressor Tuned,0.5916629221813468,0.8288093964105444,1.0,1300.0,0.007
64,CatBoost Regressor Tuned,0.6094201392962325,0.8413256456414595,1.0,1300.0,0.01
65,CatBoost Regressor Tuned,0.6327397028494222,0.8466978189241912,1.0,1300.0,0.02
66,CatBoost Regressor Tuned,0.6439329040129986,0.8455145208804331,1.0,1300.0,0.03
67,CatBoost Regressor Tuned,0.6524443663701062,0.8440115677630642,1.0,1300.0,0.04
68,CatBoost Regressor Tuned,0.6585641996156395,0.8463519545636842,1.0,1300.0,0.05
69,CatBoost Regressor Tuned,0.6691368540001503,0.8415556027081347,1.0,1300.0,0.07
70,CatBoost Regressor Tuned,0.6805871276281265,0.8313129552575128,1.0,1300.0,0.1
71,CatBoost Regressor Tuned,0.34791965224689114,0.562568414650671,1.0,1350.0,0.001
72,CatBoost Regressor Tuned,0.5701890589559508,0.8092885098438469,1.0,1350.0,0.005
73,CatBoost Regressor Tuned,0.5937853213349622,0.8303843034516388,1.0,1350.0,0.007
74,CatBoost Regressor Tuned,0.6110635673651797,0.842583314878687,1.0,1350.0,0.01
75,CatBoost Regressor Tuned,0.6338014264531291,0.8468857302854684,1.0,1350.0,0.02
76,CatBoost Regressor Tuned,0.6449981432458448,0.8455040027704768,1.0,1350.0,0.03
77,CatBoost Regressor Tuned,0.6534964822349597,0.8441847643606761,1.0,1350.0,0.04
78,CatBoost Regressor Tuned,0.6597246089127373,0.8463919623146609,1.0,1350.0,0.05
79,CatBoost Regressor Tuned,0.6703101856092092,0.8411377089836428,1.0,1350.0,0.07
80,CatBoost Regressor Tuned,0.6817775819763803,0.830995955887239,1.0,1350.0,0.1
81,CatBoost Regressor Tuned,0.354018271717383,0.5712881204557743,1.0,1400.0,0.001
82,CatBoost Regressor Tuned,0.5734207714370103,0.8126617487749617,1.0,1400.0,0.005
83,CatBoost Regressor Tuned,0.5957971261940979,0.8320721310482129,1.0,1400.0,0.007
84,CatBoost Regressor Tuned,0.612387496000099,0.84279867619103,1.0,1400.0,0.01
85,CatBoost Regressor Tuned,0.6347649491250655,0.8469863689509276,1.0,1400.0,0.02
86,CatBoost Regressor Tuned,0.6459031121426922,0.8455885258595928,1.0,1400.0,0.03
87,CatBoost Regressor Tuned,0.6544577728989296,0.8433229569252101,1.0,1400.0,0.04
88,CatBoost Regressor Tuned,0.6607998814361267,0.8466199289554213,1.0,1400.0,0.05
89,CatBoost Regressor Tuned,0.6714803309415933,0.8403126482268208,1.0,1400.0,0.07
90,CatBoost Regressor Tuned,0.682951591917927,0.8298532497087625,1.0,1400.0,0.1
91,CatBoost Regressor Tuned,0.35979904030373233,0.5789650364330043,1.0,1450.0,0.001
92,CatBoost Regressor Tuned,0.576377930636917,0.8162278500888528,1.0,1450.0,0.005
93,CatBoost Regressor Tuned,0.5974711545596793,0.8338463721476909,1.0,1450.0,0.007
94,CatBoost Regressor Tuned,0.6136892180363707,0.8442213131322956,1.0,1450.0,0.01
95,CatBoost Regressor Tuned,0.6357688639906809,0.8466480190851067,1.0,1450.0,0.02
96,CatBoost Regressor Tuned,0.6468986328683182,0.8452123512878649,1.0,1450.0,0.03
97,CatBoost Regressor Tuned,0.6554812882611378,0.8432833990920392,1.0,1450.0,0.04
98,CatBoost Regressor Tuned,0.6618969769027375,0.8463020352026214,1.0,1450.0,0.05
99,CatBoost Regressor Tuned,0.6725475556103562,0.8405593327047762,1.0,1450.0,0.07
100,CatBoost Regressor Tuned,0.6841002837438441,0.8293481812000649,1.0,1450.0,0.1
101,CatBoost Regressor Tuned,0.3652810011077483,0.5860724542027302,1.0,1500.0,0.001
102,CatBoost Regressor Tuned,0.5790897275413556,0.8187177479009238,1.0,1500.0,0.005
103,CatBoost Regressor Tuned,0.5990659235735791,0.8346815743733152,1.0,1500.0,0.007
104,CatBoost Regressor Tuned,0.6149025624902726,0.844228619850788,1.0,1500.0,0.01
105,CatBoost Regressor Tuned,0.6366804249408241,0.8470654526295504,1.0,1500.0,0.02
106,CatBoost Regressor Tuned,0.6478279201814316,0.8453030000516613,1.0,1500.0,0.03
107,CatBoost Regressor Tuned,0.6564577782682581,0.8429134665711993,1.0,1500.0,0.04
108,CatBoost Regressor Tuned,0.6628546295734915,0.845807833824573,1.0,1500.0,0.05
109,CatBoost Regressor Tuned,0.6736269278516434,0.8402005395289205,1.0,1500.0,0.07
110,CatBoost Regressor Tuned,0.6852418674583172,0.8283946708469281,1.0,1500.0,0.1
111,CatBoost Regressor Tuned,0.37073273015529484,0.5929664486004956,1.0,1550.0,0.001
112,CatBoost Regressor Tuned,0.5814623057217243,0.8208962095296787,1.0,1550.0,0.005
113,CatBoost Regressor Tuned,0.6005990851440008,0.8355167093141413,1.0,1550.0,0.007
114,CatBoost Regressor Tuned,0.6161872292418835,0.8446867815370053,1.0,1550.0,0.01
115,CatBoost Regressor Tuned,0.6376343780510922,0.8471742575155146,1.0,1550.0,0.02
116,CatBoost Regressor Tuned,0.6487317436723379,0.8450036139055893,1.0,1550.0,0.03
117,CatBoost Regressor Tuned,0.6575218610811133,0.8429710971790019,1.0,1550.0,0.04
118,CatBoost Regressor Tuned,0.663874144575197,0.8455615832013266,1.0,1550.0,0.05
119,CatBoost Regressor Tuned,0.6747058131051252,0.8395785153966719,1.0,1550.0,0.07
120,CatBoost Regressor Tuned,0.6863855840447601,0.8273528531253107,1.0,1550.0,0.1
121,CatBoost Regressor Tuned,0.3756980197249864,0.5994688089400904,1.0,1600.0,0.001
122,CatBoost Regressor Tuned,0.5837126394246479,0.8228888324614385,1.0,1600.0,0.005
123,CatBoost Regressor Tuned,0.6021824564476486,0.8367517183374613,1.0,1600.0,0.007
124,CatBoost Regressor Tuned,0.6173942818749367,0.8453320404455021,1.0,1600.0,0.01
125,CatBoost Regressor Tuned,0.6384788845682066,0.8472678257034387,1.0,1600.0,0.02
126,CatBoost Regressor Tuned,0.6496385777035181,0.8451893437214866,1.0,1600.0,0.03
127,CatBoost Regressor Tuned,0.6584343590669506,0.8427996949663947,1.0,1600.0,0.04
128,CatBoost Regressor Tuned,0.6648596957509079,0.8449109932976765,1.0,1600.0,0.05
129,CatBoost Regressor Tuned,0.675705169871771,0.8390874171416238,1.0,1600.0,0.07
130,CatBoost Regressor Tuned,0.6874769315650724,0.8260055689282142,1.0,1600.0,0.1
131,CatBoost Regressor Tuned,0.3897899075799057,0.6168588851891501,1.0,1750.0,0.001
132,CatBoost Regressor Tuned,0.589148590608789,0.8278934097492772,1.0,1750.0,0.005
133,CatBoost Regressor Tuned,0.6064214442998098,0.8391809939020681,1.0,1750.0,0.007
134,CatBoost Regressor Tuned,0.6208520655799781,0.8469828391190871,1.0,1750.0,0.01
135,CatBoost Regressor Tuned,0.6408876543941566,0.8478253221370593,1.0,1750.0,0.02
136,CatBoost Regressor Tuned,0.6521348897636511,0.844901023398551,1.0,1750.0,0.03
137,CatBoost Regressor Tuned,0.6612285083257399,0.8425702388645941,1.0,1750.0,0.04
